,Unnamed: 0,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes,Year,Month,Association,Start (ET)
42,42,1995-05-13,Phoenix Suns,85,Houston Rockets,118,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,5,NBA,
43,43,1995-05-14,Orlando Magic,95,Chicago Bulls,106,Box Score,https://www.basketball-reference.com/boxscores/,"24,358",,1995,5,NBA,
44,44,1995-05-14,Phoenix Suns,114,Houston Rockets,110,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,5,NBA,
45,45,1995-05-14,San Antonio Spurs,80,Los Angeles Lakers,71,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1995,5,NBA,
46,46,1995-05-16,Los Angeles Lakers,98,San Antonio Spurs,96,Box Score,https://www.basketball-reference.com/boxscores/,"35,888",,1995,5,NBA,
47,47,1995-05-16,Houston Rockets,103,Phoenix Suns,97,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1995,5,NBA,
48,48,1995-05-16,Chicago Bulls,95,Orlando Magic,103,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,5,NBA,
49,49,1995-05-17,Indiana Pacers,95,New York Knicks,96,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1995,5,NBA,
50,50,1995-05-18,Orlando Magic,108,Chicago Bulls,102,Box Score,https://www.basketball-reference.com/boxscores/,"24,322",,1995,5,NBA,
51,51,1995-05-18,Phoenix Suns,103,Houston Rockets,116,Box Score,https://www.basketball-reference.com/boxscores/,"16,661",,1995,5,NBA,
52,52,1995-05-18,San Antonio Spurs,100,Los Angeles Lakers,88,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1995,5,NBA,
53,53,1995-05-19,New York Knicks,92,Indiana Pacers,82,Box Score,https://www.basketball-reference.com/boxscores/,"16,679",,1995,5,NBA,
54,54,1995-05-20,Houston Rockets,115,Phoenix Suns,114,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1995,5,NBA,
55,55,1995-05-21,Indiana Pacers,97,New York Knicks,95,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1995,5,NBA,
56,56,1995-05-22,Houston Rockets,94,San Antonio Spurs,93,Box Score,https://www.basketball-reference.com/boxscores/,"33,337",,1995,5,NBA,
57,57,1995-05-23,Indiana Pacers,101,Orlando Magic,105,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,5,NBA,
58,58,1995-05-24,Houston Rockets,106,San Antonio Spurs,96,Box Score,https://www.basketball-reference.com/boxscores/,"35,888",,1995,5,NBA,
59,59,1995-05-25,Indiana Pacers,114,Orlando Magic,119,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,5,NBA,
